# Emoji English Codes - Generated from Unicode names
# Format: code emoji [emoji ...]
1_2 🏻
3 🏼
4 🏽
5 🏾
6 🏿
abacus 🧮
accordion 🪗
adhesive_bandage 🩹
admission_tickets 🎟
adult 🧑‍🤝‍🧑
aerial_tramway 🚡
airplane ✈️
airplane_arriving 🛬
airplane_departure 🛫
alarm_clock ⏰
alembic ⚗️
alien_monster 👾
ambulance 🚑
american_football 🏈
amphora 🏺
anatomical_heart 🫀
anchor ⚓
anger_symbol 💢
angry_face 😠
anguished_face 😧
ant 🐜
antenna_with_bars 📶
anticlockwise_downwards_and_upwards_open_circle_arrows 🔄
aquarius ♒
aries ♈
articulated_lorry 🚛
artist_palette 🎨
asterisk *️⃣
astonished_face 😲
athletic_shoe 👟
atom_symbol ⚛️
aubergine 🍆
auto_rickshaw 🛺
automated_teller_machine 🏧
automobile 🚗
avocado 🥑
axe 🪓
baby 👶
baby_angel 👼
baby_bottle 🍼
baby_chick 🐤
baby_symbol 🚼
back_with_leftwards_arrow_above 🔙
bacon 🥓
bactrian_camel 🐫
badger 🦡
badminton_racquet_and_shuttlecock 🏸
bagel 🥯
baggage_claim 🛄
baguette_bread 🥖
ball_of_yarn 🧶
ballet_shoes 🩰
balloon 🎈
ballot_box_with_ballot 🗳
ballot_box_with_check ☑️
banana 🍌
banjo 🪕
bank 🏦
banknote_with_dollar_sign 💵
banknote_with_euro_sign 💶
banknote_with_pound_sign 💷
banknote_with_yen_sign 💴
bar_chart 📊
bar_of_soap 🧼
barber_pole 💈
baseball ⚾
basket 🧺
basketball_and_hoop 🏀
bat 🦇
bath 🛀
bathtub 🛁
battery 🔋
beach_with_umbrella 🏖
beans 🫘
bear_face 🐻 🐻‍❄️
bearded_person 🧔 🧔‍♀️
beating_heart 💓
beaver 🦫
bed 🛏
beer_mug 🍺
beetle 🪲
bell 🔔
bell_pepper 🫑
bell_with_cancellation_stroke 🔕
bellhop_bell 🛎
bento_box 🍱
beverage_box 🧃
bicycle 🚲
bicyclist 🚴‍♀️ 🚴‍♂️
bikini 👙
billed_cap 🧢
billiards 🎱
biohazard_sign ☣️
bird 🐦‍🔥 🐦 🐦‍⬛
birthday_cake 🎂
bison 🦬
bitcoin_sign ₿
biting_lip 🫦
black_chess_pawn ♟
black_circle_for_record ⏺️
black_club_suit ♣️
black_diamond_suit ♦️
black_down_pointing_double_triangle ⏬
black_heart 🖤
black_heart_suit ♥️
black_large_square ⬛
black_left_pointing_double_triangle ⏪
black_left_pointing_double_triangle_with_vertical_bar ⏮️
black_left_pointing_triangle ◀️
black_medium_small_square ◾
black_medium_square ◼
black_nib ✒️
black_question_mark_ornament ❓
black_right_pointing_double_triangle ⏩
black_right_pointing_double_triangle_with_vertical_bar ⏭️
black_right_pointing_triangle ▶️
black_right_pointing_triangle_with_double_vertical_bar ⏯️
black_rightwards_arrow ➡️
black_scissors ✂️
black_small_square ▪
black_spade_suit ♠️
black_square_button 🔲
black_square_for_stop ⏹️
black_sun_with_rays ☀️
black_telephone ☎️
black_universal_recycling_symbol ♻️
black_up_pointing_double_triangle ⏫
blossom 🌼
blowfish 🐡
blue_book 📘
blue_heart 💙
blueberries 🫐
boar 🐗
bomb 💣
bone 🦴
bookmark 🔖
bookmark_tabs 📑
books 📚
boomerang 🪃
bottle_with_popping_cork 🍾
bouquet 💐
bow_and_arrow 🏹
bowl_with_spoon 🥣
bowling 🎳
boxing_glove 🥊
boy 👦
brain 🧠
bread 🍞
breast_feeding 🤱
brick 🧱
bride_with_veil 👰‍♀️ 👰‍♂️
bridge_at_night 🌉
briefcase 💼
briefs 🩲
broccoli 🥦
broken_heart 💔
broom 🧹
brown_heart 🤎
bubble_tea 🧋
bubbles 🫧
bucket 🪣
bug 🐛
building_construction 🏗
burrito 🌯
bus 🚌
bus_stop 🚏
bust_in_silhouette 👤
busts_in_silhouette 👥
butter 🧈
butterfly 🦋
cactus 🌵
calendar 📅
call_me_hand 🤙
camera 📷
camera_with_flash 📸
camping 🏕
cancer ♋
candle 🕯
candy 🍬
canned_food 🥫
canoe 🛶
capricorn ♑
card_file_box 🗃
card_index 📇
card_index_dividers 🗂
carousel_horse 🎠
carp_streamer 🎏
carpentry_saw 🪚
carrot 🥕
cat 🐈 🐈‍⬛
cat_face 🐱
cat_face_with_tears_of_joy 😹
cat_face_with_wry_smile 😼
chains ⛓️ ⛓️‍💥
chair 🪑
chart_with_downwards_trend 📉
chart_with_upwards_trend 📈
cheering_megaphone 📣
cheese_wedge 🧀
chequered_flag 🏁
cherries 🍒
cherry_blossom 🌸
chestnut 🌰
chicken 🐔
child 🧒
children_crossing 🚸
chipmunk 🐿
chocolate_bar 🍫
chopsticks 🥢
christmas_tree 🎄
church ⛪
cinema 🎦
circled_ideograph_accept 🉑
circled_ideograph_advantage 🉐
circled_ideograph_congratulation ㊗️
circled_ideograph_secret ㊙️
circled_latin_capital_letter_m Ⓜ️
circus_tent 🎪
cityscape 🏙
cityscape_at_dusk 🌆
clapper_board 🎬
clapping_hands_sign 👏
classical_building 🏛
clinking_beer_mugs 🍻
clinking_glasses 🥂
